InputSize,Algorithm,RunningTime
2000,SuffixTree,24.784685
2000,TandemRepeat,27.053565
2000,SuffixTree,11.918333
2000,TandemRepeat,14.857306
2000,SuffixTree,8.212533
2000,TandemRepeat,14.882279
2000,SuffixTree,10.158722
2000,TandemRepeat,15.122169
2000,SuffixTree,8.393377
2000,TandemRepeat,17.824071
2000,SuffixTree,14.44745
2000,TandemRepeat,16.428483
2000,SuffixTree,10.199732
2000,TandemRepeat,15.462092
2000,SuffixTree,9.761931
2000,TandemRepeat,18.013778
2000,SuffixTree,8.235354
2000,TandemRepeat,16.419447
2000,SuffixTree,11.114585
2000,TandemRepeat,16.087004
4000,SuffixTree,40.590619
4000,TandemRepeat,58.582985
4000,SuffixTree,16.601105
4000,TandemRepeat,57.176838
4000,SuffixTree,12.928216
4000,TandemRepeat,48.064862
4000,SuffixTree,16.062249
4000,TandemRepeat,36.004446
4000,SuffixTree,14.775897
4000,TandemRepeat,43.536219
4000,SuffixTree,26.805962
4000,TandemRepeat,51.986895
4000,SuffixTree,17.843719
4000,TandemRepeat,75.612592
4000,SuffixTree,17.755126
4000,TandemRepeat,60.766886
4000,SuffixTree,23.456158
4000,TandemRepeat,38.925809
4000,SuffixTree,16.271396
4000,TandemRepeat,56.309998
6000,SuffixTree,27.989785
6000,TandemRepeat,100.181749
6000,SuffixTree,39.621905
6000,TandemRepeat,94.078495
6000,SuffixTree,27.694304
6000,TandemRepeat,96.946506
6000,SuffixTree,27.191602
6000,TandemRepeat,62.527146
6000,SuffixTree,27.453496
6000,TandemRepeat,72.361584
6000,SuffixTree,27.737096
6000,TandemRepeat,69.399603
6000,SuffixTree,26.560251
6000,TandemRepeat,63.305225
6000,SuffixTree,27.000206
6000,TandemRepeat,65.980117
6000,SuffixTree,27.053241
6000,TandemRepeat,66.003086
6000,SuffixTree,27.758457
6000,TandemRepeat,76.214567
