InputSize,Algorithm,RunningTime
4000,SuffixTree,21.525165
4000,TandemRepeat,19.504638
4000,SuffixTree,25.832127
4000,TandemRepeat,12.549072
4000,SuffixTree,14.783487
4000,TandemRepeat,11.541558
4000,SuffixTree,14.295357
4000,TandemRepeat,15.049721
4000,SuffixTree,12.885848
4000,TandemRepeat,13.980209
4000,SuffixTree,10.48602
4000,TandemRepeat,15.721604
4000,SuffixTree,12.148185
4000,TandemRepeat,13.706892
4000,SuffixTree,15.196684
4000,TandemRepeat,11.941251
4000,SuffixTree,10.702361
4000,TandemRepeat,13.255365
4000,SuffixTree,12.118702
4000,TandemRepeat,12.370007
8000,SuffixTree,39.929978
8000,TandemRepeat,37.017739
8000,SuffixTree,35.357817
8000,TandemRepeat,33.153149
8000,SuffixTree,29.44491
8000,TandemRepeat,34.528002
8000,SuffixTree,21.925881
8000,TandemRepeat,27.83987
8000,SuffixTree,27.934598
8000,TandemRepeat,28.999123
8000,SuffixTree,21.324635
8000,TandemRepeat,26.508088
8000,SuffixTree,23.740291
8000,TandemRepeat,26.180773
8000,SuffixTree,25.59836
8000,TandemRepeat,26.498297
8000,SuffixTree,21.21888
8000,TandemRepeat,24.331814
8000,SuffixTree,25.686674
8000,TandemRepeat,25.838744
12000,SuffixTree,46.324135
12000,TandemRepeat,50.980252
12000,SuffixTree,45.33838
12000,TandemRepeat,48.010968
12000,SuffixTree,41.557953
12000,TandemRepeat,48.257179
12000,SuffixTree,43.32938
12000,TandemRepeat,39.522197
12000,SuffixTree,47.210199
12000,TandemRepeat,45.065805
12000,SuffixTree,33.712606
12000,TandemRepeat,43.707572
12000,SuffixTree,39.122573
12000,TandemRepeat,39.230791
12000,SuffixTree,49.249723
12000,TandemRepeat,39.500544
12000,SuffixTree,34.827986
12000,TandemRepeat,41.286128
12000,SuffixTree,33.889198
12000,TandemRepeat,40.986163
16000,SuffixTree,71.704774
16000,TandemRepeat,76.467185
16000,SuffixTree,67.677308
16000,TandemRepeat,52.478207
16000,SuffixTree,47.5532
16000,TandemRepeat,52.710753
16000,SuffixTree,50.299914
16000,TandemRepeat,56.877901
16000,SuffixTree,56.424568
16000,TandemRepeat,54.201224
16000,SuffixTree,46.404215
16000,TandemRepeat,53.660707
16000,SuffixTree,46.246282
16000,TandemRepeat,53.240297
16000,SuffixTree,46.529276
16000,TandemRepeat,54.317851
16000,SuffixTree,47.001697
16000,TandemRepeat,54.256648
16000,SuffixTree,50.243717
16000,TandemRepeat,54.39335
20000,SuffixTree,89.344768
20000,TandemRepeat,79.633182
20000,SuffixTree,69.96547
20000,TandemRepeat,79.606232
20000,SuffixTree,57.753187
20000,TandemRepeat,68.609353
20000,SuffixTree,63.544787
20000,TandemRepeat,75.574699
20000,SuffixTree,65.670075
20000,TandemRepeat,69.946769
20000,SuffixTree,59.333329
20000,TandemRepeat,72.766975
20000,SuffixTree,68.662876
20000,TandemRepeat,105.663593
20000,SuffixTree,89.962566
20000,TandemRepeat,69.040098
20000,SuffixTree,74.143513
20000,TandemRepeat,70.3366
20000,SuffixTree,60.258168
20000,TandemRepeat,69.48214
24000,SuffixTree,89.460616
24000,TandemRepeat,99.121443
24000,SuffixTree,82.619551
24000,TandemRepeat,82.538213
24000,SuffixTree,92.385472
24000,TandemRepeat,90.554662
24000,SuffixTree,74.614036
24000,TandemRepeat,83.109021
24000,SuffixTree,70.409364
24000,TandemRepeat,86.711457
24000,SuffixTree,87.072543
24000,TandemRepeat,83.419238
24000,SuffixTree,82.547712
24000,TandemRepeat,93.298995
24000,SuffixTree,69.75684
24000,TandemRepeat,84.370981
24000,SuffixTree,77.505647
24000,TandemRepeat,82.44793
24000,SuffixTree,67.937232
24000,TandemRepeat,82.515886
28000,SuffixTree,112.389523
28000,TandemRepeat,107.791033
28000,SuffixTree,124.430248
28000,TandemRepeat,97.257905
28000,SuffixTree,90.437965
28000,TandemRepeat,101.024161
28000,SuffixTree,81.304329
28000,TandemRepeat,98.147352
28000,SuffixTree,84.143886
28000,TandemRepeat,96.188973
28000,SuffixTree,89.669743
28000,TandemRepeat,100.367193
28000,SuffixTree,100.886317
28000,TandemRepeat,104.168474
28000,SuffixTree,89.971843
28000,TandemRepeat,105.179001
28000,SuffixTree,84.722253
28000,TandemRepeat,97.99987
28000,SuffixTree,84.808858
28000,TandemRepeat,100.510618
32000,SuffixTree,120.728982
32000,TandemRepeat,119.048821
32000,SuffixTree,105.370614
32000,TandemRepeat,111.826705
32000,SuffixTree,99.49033
32000,TandemRepeat,115.075765
32000,SuffixTree,116.01293
32000,TandemRepeat,110.942088
32000,SuffixTree,109.627292
32000,TandemRepeat,113.593613
32000,SuffixTree,95.295321
32000,TandemRepeat,116.099534
32000,SuffixTree,109.183072
32000,TandemRepeat,115.608374
32000,SuffixTree,131.523597
32000,TandemRepeat,111.699419
32000,SuffixTree,105.295405
32000,TandemRepeat,114.988944
32000,SuffixTree,134.916233
32000,TandemRepeat,111.535362
36000,SuffixTree,144.148512
36000,TandemRepeat,135.132428
36000,SuffixTree,106.678006
36000,TandemRepeat,145.465626
36000,SuffixTree,137.78306
36000,TandemRepeat,128.832911
36000,SuffixTree,107.799191
36000,TandemRepeat,128.446937
36000,SuffixTree,115.091199
36000,TandemRepeat,138.377531
36000,SuffixTree,120.089055
36000,TandemRepeat,135.326605
36000,SuffixTree,146.586357
36000,TandemRepeat,124.443499
36000,SuffixTree,108.761707
36000,TandemRepeat,131.69003
36000,SuffixTree,114.619262
36000,TandemRepeat,126.579413
36000,SuffixTree,108.855225
36000,TandemRepeat,128.694395
40000,SuffixTree,154.419618
40000,TandemRepeat,145.233777
40000,SuffixTree,153.777639
40000,TandemRepeat,145.139052
40000,SuffixTree,125.533095
40000,TandemRepeat,157.239335
40000,SuffixTree,149.819797
40000,TandemRepeat,138.774091
40000,SuffixTree,163.420389
40000,TandemRepeat,145.928397
40000,SuffixTree,121.489089
40000,TandemRepeat,145.215777
40000,SuffixTree,146.810819
40000,TandemRepeat,144.422465
40000,SuffixTree,118.424208
40000,TandemRepeat,144.307448
40000,SuffixTree,128.281622
40000,TandemRepeat,149.065622
40000,SuffixTree,124.403814
40000,TandemRepeat,151.570434
44000,SuffixTree,185.665996
44000,TandemRepeat,237.880978
44000,SuffixTree,164.33719
44000,TandemRepeat,162.825249
44000,SuffixTree,141.386863
44000,TandemRepeat,160.240035
44000,SuffixTree,149.868042
44000,TandemRepeat,161.921638
44000,SuffixTree,134.355759
44000,TandemRepeat,157.990286
44000,SuffixTree,138.480249
44000,TandemRepeat,157.837815
44000,SuffixTree,174.296562
44000,TandemRepeat,166.445268
44000,SuffixTree,190.365307
44000,TandemRepeat,158.948328
44000,SuffixTree,145.578274
44000,TandemRepeat,156.7578
44000,SuffixTree,131.308243
44000,TandemRepeat,159.57651
48000,SuffixTree,191.241433
48000,TandemRepeat,172.559307
48000,SuffixTree,173.527965
48000,TandemRepeat,205.392058
48000,SuffixTree,213.759561
48000,TandemRepeat,179.201767
48000,SuffixTree,165.530675
