InputSize,Algorithm,RunningTime
500,SuffixTree,4.305711
500,TandemRepeat,6.79013
500,SuffixTree,1.121179
500,TandemRepeat,5.893865
500,SuffixTree,2.000427
500,TandemRepeat,3.265878
500,SuffixTree,900.938µs
500,TandemRepeat,3.233404
500,SuffixTree,882.841µs
500,TandemRepeat,2.596407
500,SuffixTree,1.103697
500,TandemRepeat,7.886763
500,SuffixTree,862.997µs
500,TandemRepeat,2.938094
500,SuffixTree,760.442µs
500,TandemRepeat,2.518538
500,SuffixTree,830.643µs
500,TandemRepeat,5.684928
500,SuffixTree,1.602965
500,TandemRepeat,2.989651
1000,SuffixTree,8.538405
1000,TandemRepeat,10.791305
1000,SuffixTree,3.095055
1000,TandemRepeat,11.442897
1000,SuffixTree,8.519216
1000,TandemRepeat,11.026413
1000,SuffixTree,5.196358
1000,TandemRepeat,6.787475
1000,SuffixTree,1.851688
1000,TandemRepeat,4.173348
1000,SuffixTree,4.626412
1000,TandemRepeat,7.490404
1000,SuffixTree,2.677186
1000,TandemRepeat,4.426249
1000,SuffixTree,5.49422
1000,TandemRepeat,7.293995
1000,SuffixTree,2.53274
1000,TandemRepeat,8.529643
1000,SuffixTree,1.810723
1000,TandemRepeat,3.848422
1500,SuffixTree,6.566199
1500,TandemRepeat,13.564714
1500,SuffixTree,14.10236
1500,TandemRepeat,15.165706
1500,SuffixTree,8.438064
1500,TandemRepeat,13.066017
1500,SuffixTree,3.438488
1500,TandemRepeat,9.19642
1500,SuffixTree,3.438245
1500,TandemRepeat,7.82711
1500,SuffixTree,7.882178
1500,TandemRepeat,8.046522
1500,SuffixTree,4.974275
1500,TandemRepeat,11.084198
1500,SuffixTree,3.474446
1500,TandemRepeat,9.662249
1500,SuffixTree,3.211647
1500,TandemRepeat,7.741331
1500,SuffixTree,8.179576
1500,TandemRepeat,12.163298
2000,SuffixTree,12.212674
2000,TandemRepeat,23.774503
2000,SuffixTree,8.396874
2000,TandemRepeat,29.239152
2000,SuffixTree,5.520368
2000,TandemRepeat,17.513234
2000,SuffixTree,6.332665
2000,TandemRepeat,17.959679
2000,SuffixTree,5.105863
2000,TandemRepeat,15.530939
2000,SuffixTree,5.259306
2000,TandemRepeat,11.674755
2000,SuffixTree,10.700724
2000,TandemRepeat,20.815622
2000,SuffixTree,9.473832
2000,TandemRepeat,11.381734
2000,SuffixTree,13.576165
2000,TandemRepeat,17.475741
2000,SuffixTree,8.930509
2000,TandemRepeat,16.734115
2500,SuffixTree,16.304521
2500,TandemRepeat,22.819098
2500,SuffixTree,21.777015
2500,TandemRepeat,19.611366
2500,SuffixTree,16.351507
2500,TandemRepeat,19.572469
2500,SuffixTree,18.063241
2500,TandemRepeat,21.602752
2500,SuffixTree,7.547366
2500,TandemRepeat,28.483448
2500,SuffixTree,6.993971
2500,TandemRepeat,16.264131
2500,SuffixTree,11.411161
2500,TandemRepeat,27.304051
2500,SuffixTree,7.614979
2500,TandemRepeat,16.836505
2500,SuffixTree,17.531144
2500,TandemRepeat,15.710725
2500,SuffixTree,17.487819
2500,TandemRepeat,19.807601
3000,SuffixTree,11.320152
3000,TandemRepeat,47.519257
3000,SuffixTree,13.791433
3000,TandemRepeat,36.879365
3000,SuffixTree,9.893091
3000,TandemRepeat,24.635236
3000,SuffixTree,9.698015
3000,TandemRepeat,27.951134
3000,SuffixTree,9.346081
3000,TandemRepeat,24.598945
3000,SuffixTree,10.038914
3000,TandemRepeat,25.912425
3000,SuffixTree,9.913873
3000,TandemRepeat,20.175224
3000,SuffixTree,13.909644
3000,TandemRepeat,28.541096
3000,SuffixTree,15.544217
3000,TandemRepeat,29.927301
3000,SuffixTree,9.274831
3000,TandemRepeat,31.375514
3500,SuffixTree,13.305866
3500,TandemRepeat,60.29319
3500,SuffixTree,13.609579
3500,TandemRepeat,42.480971
3500,SuffixTree,12.2609
3500,TandemRepeat,25.002749
3500,SuffixTree,16.412874
3500,TandemRepeat,34.264018
3500,SuffixTree,12.611535
3500,TandemRepeat,36.382322
3500,SuffixTree,12.386093
3500,TandemRepeat,40.255182
3500,SuffixTree,12.384147
3500,TandemRepeat,24.655662
3500,SuffixTree,12.388766
3500,TandemRepeat,33.675342
3500,SuffixTree,12.399819
3500,TandemRepeat,27.914147
3500,SuffixTree,18.909739
3500,TandemRepeat,31.447043
4000,SuffixTree,32.001105
4000,TandemRepeat,57.587009
4000,SuffixTree,22.330807
4000,TandemRepeat,45.773147
4000,SuffixTree,26.889566
4000,TandemRepeat,48.051741
4000,SuffixTree,14.389505
4000,TandemRepeat,55.337934
4000,SuffixTree,14.531555
4000,TandemRepeat,41.516691
4000,SuffixTree,14.90614
4000,TandemRepeat,41.12075
4000,SuffixTree,26.53772
4000,TandemRepeat,42.035931
4000,SuffixTree,21.709939
4000,TandemRepeat,54.363158
4000,SuffixTree,14.324455
4000,TandemRepeat,36.208851
4000,SuffixTree,26.529605
4000,TandemRepeat,41.383231
4500,SuffixTree,21.431768
4500,TandemRepeat,73.957476
4500,SuffixTree,18.297815
4500,TandemRepeat,63.242361
4500,SuffixTree,17.168636
4500,TandemRepeat,46.383507
4500,SuffixTree,18.639378
4500,TandemRepeat,47.768228
4500,SuffixTree,18.302425
4500,TandemRepeat,49.031778
4500,SuffixTree,18.044988
4500,TandemRepeat,46.215627
4500,SuffixTree,18.257851
4500,TandemRepeat,45.431944
4500,SuffixTree,18.278281
4500,TandemRepeat,55.011659
4500,SuffixTree,17.57838
4500,TandemRepeat,44.397011
4500,SuffixTree,17.833485
4500,TandemRepeat,46.808339
5000,SuffixTree,23.566852
5000,TandemRepeat,71.257629
