InputSize,Algorithm,RunningTime
2000,SuffixTree,7.42696
2000,TandemRepeat,4.255956
2000,SuffixTree,5.188863
2000,TandemRepeat,4.335202
2000,SuffixTree,4.740405
2000,TandemRepeat,5.847092
2000,SuffixTree,6.520614
2000,TandemRepeat,6.082842
2000,SuffixTree,5.075153
2000,TandemRepeat,7.941455
2000,SuffixTree,6.846684
2000,TandemRepeat,4.344507
2000,SuffixTree,3.814768
2000,TandemRepeat,4.532251
2000,SuffixTree,4.026426
2000,TandemRepeat,4.287247
2000,SuffixTree,4.591485
2000,TandemRepeat,4.156674
2000,SuffixTree,5.392106
2000,TandemRepeat,4.202742
4000,SuffixTree,11.900999
4000,TandemRepeat,13.549208
4000,SuffixTree,15.165092
4000,TandemRepeat,10.213829
4000,SuffixTree,8.527547
4000,TandemRepeat,10.018384
4000,SuffixTree,8.729388
4000,TandemRepeat,9.588336
4000,SuffixTree,11.61911
4000,TandemRepeat,11.19868
4000,SuffixTree,7.644728
4000,TandemRepeat,9.877733
4000,SuffixTree,8.682212
4000,TandemRepeat,9.689367
4000,SuffixTree,11.187808
4000,TandemRepeat,9.617115
4000,SuffixTree,8.44842
4000,TandemRepeat,9.513652
4000,SuffixTree,7.44693
4000,TandemRepeat,9.561367
6000,SuffixTree,19.811789
6000,TandemRepeat,21.174039
6000,SuffixTree,20.460053
6000,TandemRepeat,17.568624
6000,SuffixTree,11.982437
6000,TandemRepeat,15.422369
6000,SuffixTree,13.295329
6000,TandemRepeat,14.810677
6000,SuffixTree,13.193871
6000,TandemRepeat,14.89832
6000,SuffixTree,12.312951
6000,TandemRepeat,15.139443
6000,SuffixTree,12.765711
6000,TandemRepeat,14.930142
6000,SuffixTree,16.600567
6000,TandemRepeat,15.001931
6000,SuffixTree,12.898289
6000,TandemRepeat,15.021525
6000,SuffixTree,12.745464
6000,TandemRepeat,14.963162
8000,SuffixTree,31.480554
8000,TandemRepeat,25.498021
8000,SuffixTree,21.928436
8000,TandemRepeat,21.120747
8000,SuffixTree,19.482508
8000,TandemRepeat,21.566521
8000,SuffixTree,19.161015
8000,TandemRepeat,20.140146
8000,SuffixTree,16.48292
8000,TandemRepeat,20.282798
8000,SuffixTree,18.525504
8000,TandemRepeat,20.292538
8000,SuffixTree,23.707541
8000,TandemRepeat,20.341065
8000,SuffixTree,17.157815
8000,TandemRepeat,20.263346
8000,SuffixTree,16.106549
8000,TandemRepeat,22.971896
8000,SuffixTree,15.225782
8000,TandemRepeat,20.324524
