InputSize,Algorithm,RunningTime
1000,SuffixTree,3.167082
1000,TandemRepeat,1.241984
1000,SuffixTree,2.913955
1000,TandemRepeat,1.686759
1000,SuffixTree,1.898952
1000,TandemRepeat,2.859229
1000,SuffixTree,1.663818
1000,TandemRepeat,1.60809
1000,SuffixTree,3.308106
1000,TandemRepeat,4.754888
1000,SuffixTree,3.50901
1000,TandemRepeat,1.664216
1000,SuffixTree,4.680406
1000,TandemRepeat,2.71017
1000,SuffixTree,3.062867
1000,TandemRepeat,1.435166
1000,SuffixTree,2.824922
1000,TandemRepeat,1.561854
1000,SuffixTree,2.044675
1000,TandemRepeat,1.629496
2000,SuffixTree,5.18337
2000,TandemRepeat,6.033504
2000,SuffixTree,9.262931
2000,TandemRepeat,7.503451
2000,SuffixTree,4.941967
2000,TandemRepeat,7.050317
2000,SuffixTree,3.853533
2000,TandemRepeat,3.824333
2000,SuffixTree,3.64594
2000,TandemRepeat,4.389787
2000,SuffixTree,6.929975
2000,TandemRepeat,3.782602
2000,SuffixTree,4.069839
2000,TandemRepeat,3.83252
2000,SuffixTree,4.962414
2000,TandemRepeat,5.145981
2000,SuffixTree,4.240545
2000,TandemRepeat,4.976946
2000,SuffixTree,8.004036
2000,TandemRepeat,5.374803
3000,SuffixTree,8.156596
3000,TandemRepeat,9.794651
3000,SuffixTree,14.410385
3000,TandemRepeat,7.71318
3000,SuffixTree,9.712617
3000,TandemRepeat,7.029639
3000,SuffixTree,7.645099
3000,TandemRepeat,6.717026
3000,SuffixTree,7.14071
3000,TandemRepeat,6.981749
3000,SuffixTree,8.445007
3000,TandemRepeat,7.155775
3000,SuffixTree,5.690433
3000,TandemRepeat,6.434405
3000,SuffixTree,5.731387
3000,TandemRepeat,6.503713
3000,SuffixTree,6.085646
3000,TandemRepeat,6.460109
3000,SuffixTree,5.831804
3000,TandemRepeat,6.55439
4000,SuffixTree,9.410995
4000,TandemRepeat,11.641602
4000,SuffixTree,15.356373
4000,TandemRepeat,12.842512
4000,SuffixTree,9.301765
4000,TandemRepeat,9.253774
4000,SuffixTree,9.076974
4000,TandemRepeat,9.311104
4000,SuffixTree,10.93157
4000,TandemRepeat,10.288966
4000,SuffixTree,7.709805
4000,TandemRepeat,9.093137
4000,SuffixTree,7.443283
4000,TandemRepeat,9.264263
4000,SuffixTree,8.46682
4000,TandemRepeat,9.113894
4000,SuffixTree,10.164962
4000,TandemRepeat,8.944943
4000,SuffixTree,7.671309
4000,TandemRepeat,8.939333
5000,SuffixTree,12.500408
5000,TandemRepeat,14.238111
5000,SuffixTree,16.516498
5000,TandemRepeat,15.203284
5000,SuffixTree,11.568775
5000,TandemRepeat,13.733922
5000,SuffixTree,13.165612
5000,TandemRepeat,13.714145
5000,SuffixTree,9.660436
5000,TandemRepeat,11.791048
5000,SuffixTree,9.593783
5000,TandemRepeat,13.0878
5000,SuffixTree,12.88958
5000,TandemRepeat,11.589363
5000,SuffixTree,9.312918
5000,TandemRepeat,11.736126
5000,SuffixTree,10.835134
5000,TandemRepeat,11.522713
5000,SuffixTree,12.40359
5000,TandemRepeat,11.505894
6000,SuffixTree,14.315761
6000,TandemRepeat,17.58806
6000,SuffixTree,18.543222
6000,TandemRepeat,15.641644
6000,SuffixTree,16.478682
6000,TandemRepeat,15.112631
6000,SuffixTree,13.27709
6000,TandemRepeat,16.094946
6000,SuffixTree,12.116664
6000,TandemRepeat,14.068723
6000,SuffixTree,13.667262
6000,TandemRepeat,14.304736
6000,SuffixTree,15.636675
6000,TandemRepeat,14.258949
6000,SuffixTree,13.291206
6000,TandemRepeat,14.26316
6000,SuffixTree,13.353307
6000,TandemRepeat,14.147473
6000,SuffixTree,12.894313
6000,TandemRepeat,14.117335
7000,SuffixTree,17.662262
7000,TandemRepeat,28.705081
7000,SuffixTree,19.607246
7000,TandemRepeat,20.886155
7000,SuffixTree,14.681396
7000,TandemRepeat,16.633552
7000,SuffixTree,12.755099
