InputSize,Algorithm,RunningTime
5000,SuffixTree,28.186401
5000,TandemRepeat,19.369393
5000,SuffixTree,16.935251
5000,TandemRepeat,14.791042
5000,SuffixTree,16.653113
5000,TandemRepeat,14.620077
5000,SuffixTree,14.030868
5000,TandemRepeat,14.445042
5000,SuffixTree,13.324061
5000,TandemRepeat,16.855838
5000,SuffixTree,17.16534
5000,TandemRepeat,14.460085
5000,SuffixTree,14.473146
5000,TandemRepeat,14.31964
5000,SuffixTree,17.00414
5000,TandemRepeat,14.396894
5000,SuffixTree,14.992476
5000,TandemRepeat,14.526115
5000,SuffixTree,17.132709
5000,TandemRepeat,14.412502
10000,SuffixTree,43.203335
10000,TandemRepeat,34.442287
10000,SuffixTree,33.566903
10000,TandemRepeat,30.276355
10000,SuffixTree,31.718895
10000,TandemRepeat,29.948905
10000,SuffixTree,28.680741
10000,TandemRepeat,30.132636
10000,SuffixTree,34.817087
10000,TandemRepeat,30.382849
10000,SuffixTree,28.229368
10000,TandemRepeat,33.406763
10000,SuffixTree,36.422602
10000,TandemRepeat,29.898119
10000,SuffixTree,25.959973
10000,TandemRepeat,30.062363
10000,SuffixTree,28.064592
10000,TandemRepeat,31.696733
10000,SuffixTree,28.323418
10000,TandemRepeat,30.115673
15000,SuffixTree,65.559821
15000,TandemRepeat,47.016032
15000,SuffixTree,56.968166
15000,TandemRepeat,46.486409
15000,SuffixTree,42.177848
15000,TandemRepeat,46.311303
15000,SuffixTree,42.074213
15000,TandemRepeat,52.214951
15000,SuffixTree,46.958936
15000,TandemRepeat,47.599503
15000,SuffixTree,57.471979
15000,TandemRepeat,48.52874
15000,SuffixTree,44.861636
15000,TandemRepeat,46.698112
15000,SuffixTree,46.742994
15000,TandemRepeat,46.258207
15000,SuffixTree,45.097633
15000,TandemRepeat,46.008714
15000,SuffixTree,40.398535
15000,TandemRepeat,47.341374
20000,SuffixTree,75.42686
20000,TandemRepeat,70.056093
20000,SuffixTree,86.476849
20000,TandemRepeat,63.104198
20000,SuffixTree,58.927018
20000,TandemRepeat,62.32273
20000,SuffixTree,62.845922
20000,TandemRepeat,62.170775
20000,SuffixTree,62.832544
20000,TandemRepeat,62.351101
20000,SuffixTree,58.158883
20000,TandemRepeat,63.686149
20000,SuffixTree,57.543896
20000,TandemRepeat,62.149685
20000,SuffixTree,58.486541
20000,TandemRepeat,62.171737
20000,SuffixTree,58.422842
20000,TandemRepeat,62.854009
20000,SuffixTree,66.296278
20000,TandemRepeat,61.978891
25000,SuffixTree,91.170425
25000,TandemRepeat,79.443173
25000,SuffixTree,90.68774
25000,TandemRepeat,93.235623
25000,SuffixTree,117.313598
25000,TandemRepeat,86.754192
25000,SuffixTree,83.725247
25000,TandemRepeat,86.131657
25000,SuffixTree,71.068102
25000,TandemRepeat,78.666263
25000,SuffixTree,72.496778
25000,TandemRepeat,78.606509
25000,SuffixTree,80.598901
25000,TandemRepeat,78.85995
25000,SuffixTree,105.28718
25000,TandemRepeat,78.817479
25000,SuffixTree,70.683348
25000,TandemRepeat,78.86606
25000,SuffixTree,78.263102
25000,TandemRepeat,81.901278
30000,SuffixTree,112.612565
30000,TandemRepeat,95.809667
30000,SuffixTree,112.297008
30000,TandemRepeat,95.1132
30000,SuffixTree,95.999762
30000,TandemRepeat,95.516095
30000,SuffixTree,96.651637
30000,TandemRepeat,101.791625
30000,SuffixTree,90.716261
30000,TandemRepeat,97.620223
30000,SuffixTree,97.120674
30000,TandemRepeat,94.768649
30000,SuffixTree,88.390255
30000,TandemRepeat,96.921857
30000,SuffixTree,98.808355
30000,TandemRepeat,96.355176
30000,SuffixTree,89.564316
30000,TandemRepeat,95.354032
30000,SuffixTree,96.455526
30000,TandemRepeat,96.008264
35000,SuffixTree,126.459188
35000,TandemRepeat,113.122748
35000,SuffixTree,113.562255
35000,TandemRepeat,111.839177
35000,SuffixTree,105.191551
35000,TandemRepeat,125.110571
35000,SuffixTree,120.428107
35000,TandemRepeat,118.686085
35000,SuffixTree,115.149931
35000,TandemRepeat,111.567898
35000,SuffixTree,107.148761
35000,TandemRepeat,113.747982
35000,SuffixTree,113.051413
35000,TandemRepeat,112.358202
35000,SuffixTree,105.746003
35000,TandemRepeat,112.074879
35000,SuffixTree,104.501425
35000,TandemRepeat,112.183741
35000,SuffixTree,113.742585
35000,TandemRepeat,111.65604
40000,SuffixTree,135.694108
40000,TandemRepeat,128.541836
40000,SuffixTree,121.039696
40000,TandemRepeat,128.49885
40000,SuffixTree,157.831472
40000,TandemRepeat,130.365341
40000,SuffixTree,151.380838
40000,TandemRepeat,128.442249
40000,SuffixTree,131.612073
40000,TandemRepeat,128.428064
40000,SuffixTree,117.876843
40000,TandemRepeat,128.255208
40000,SuffixTree,131.429048
40000,TandemRepeat,130.209733
40000,SuffixTree,119.096145
40000,TandemRepeat,128.608858
40000,SuffixTree,126.803782
40000,TandemRepeat,128.330155
40000,SuffixTree,123.110325
40000,TandemRepeat,128.884426
45000,SuffixTree,176.024314
45000,TandemRepeat,145.548808
45000,SuffixTree,148.284322
45000,TandemRepeat,162.101289
45000,SuffixTree,174.653838
45000,TandemRepeat,145.276718
45000,SuffixTree,143.020493
45000,TandemRepeat,145.95093
45000,SuffixTree,144.477994
45000,TandemRepeat,144.891915
45000,SuffixTree,139.737141
45000,TandemRepeat,145.690759
45000,SuffixTree,135.559019
45000,TandemRepeat,144.953817
45000,SuffixTree,162.295816
45000,TandemRepeat,145.098259
45000,SuffixTree,138.202754
45000,TandemRepeat,145.403097
45000,SuffixTree,134.266752
45000,TandemRepeat,144.968002
50000,SuffixTree,186.133568
50000,TandemRepeat,162.041396
50000,SuffixTree,193.525745
50000,TandemRepeat,163.313419
50000,SuffixTree,164.396255
50000,TandemRepeat,164.299105
50000,SuffixTree,170.056368
50000,TandemRepeat,172.676755
50000,SuffixTree,196.631627
50000,TandemRepeat,161.814861
50000,SuffixTree,165.684559
50000,TandemRepeat,162.451485
50000,SuffixTree,149.240451
50000,TandemRepeat,162.689412
50000,SuffixTree,157.418941
50000,TandemRepeat,168.835094
50000,SuffixTree,158.853012
50000,TandemRepeat,162.50028
50000,SuffixTree,170.174301
50000,TandemRepeat,185.803548
55000,SuffixTree,237.155389
55000,TandemRepeat,180.27198
55000,SuffixTree,180.735132
55000,TandemRepeat,181.869066
55000,SuffixTree,170.551358
55000,TandemRepeat,181.574964
55000,SuffixTree,172.602668
55000,TandemRepeat,180.286795
55000,SuffixTree,180.645941
55000,TandemRepeat,183.686569
55000,SuffixTree,204.253539
55000,TandemRepeat,180.316859
55000,SuffixTree,191.680999
55000,TandemRepeat,180.591872
55000,SuffixTree,173.04105
55000,TandemRepeat,200.837191
55000,SuffixTree,215.749799
55000,TandemRepeat,180.501892
55000,SuffixTree,176.375702
55000,TandemRepeat,180.315817
60000,SuffixTree,207.05707
60000,TandemRepeat,207.696148
60000,SuffixTree,187.172134
60000,TandemRepeat,220.329854
60000,SuffixTree,240.826728
60000,TandemRepeat,198.225015
60000,SuffixTree,192.29224
60000,TandemRepeat,202.574907
60000,SuffixTree,207.460238
60000,TandemRepeat,196.432739
60000,SuffixTree,226.596127
60000,TandemRepeat,207.525105
60000,SuffixTree,189.971718
60000,TandemRepeat,199.964508
60000,SuffixTree,193.16688
60000,TandemRepeat,200.136279
60000,SuffixTree,196.454964
60000,TandemRepeat,198.368238
60000,SuffixTree,198.927862
60000,TandemRepeat,199.324626
65000,SuffixTree,258.960898
65000,TandemRepeat,233.852648
65000,SuffixTree,275.549524
65000,TandemRepeat,212.939346
65000,SuffixTree,218.754829
65000,TandemRepeat,218.050123
65000,SuffixTree,215.404992
65000,TandemRepeat,214.641877
65000,SuffixTree,224.277368
65000,TandemRepeat,213.55188
65000,SuffixTree,276.348828
65000,TandemRepeat,214.723062
65000,SuffixTree,215.509683
65000,TandemRepeat,218.790012
65000,SuffixTree,216.44062
65000,TandemRepeat,214.577397
65000,SuffixTree,224.87717
65000,TandemRepeat,230.771883
65000,SuffixTree,273.491097
65000,TandemRepeat,229.729212
70000,SuffixTree,253.701584
70000,TandemRepeat,242.844142
70000,SuffixTree,240.069321
70000,TandemRepeat,233.06351
70000,SuffixTree,266.627054
70000,TandemRepeat,236.129774
70000,SuffixTree,269.825866
70000,TandemRepeat,243.736927
70000,SuffixTree,228.951628
70000,TandemRepeat,231.900206
70000,SuffixTree,232.802001
70000,TandemRepeat,233.916163
70000,SuffixTree,226.311191
70000,TandemRepeat,256.721413
70000,SuffixTree,227.492191
70000,TandemRepeat,232.022615
70000,SuffixTree,245.573101
70000,TandemRepeat,237.487523
70000,SuffixTree,227.519813
70000,TandemRepeat,254.908045
75000,SuffixTree,320.42328
75000,TandemRepeat,250.289673
75000,SuffixTree,245.971958
75000,TandemRepeat,261.250743
75000,SuffixTree,275.435395
75000,TandemRepeat,248.434083
75000,SuffixTree,274.092267
75000,TandemRepeat,263.65567
75000,SuffixTree,323.211849
75000,TandemRepeat,249.291088
75000,SuffixTree,248.504634
75000,TandemRepeat,256.034735
75000,SuffixTree,259.840731
75000,TandemRepeat,250.217442
75000,SuffixTree,259.900767
75000,TandemRepeat,250.162674
75000,SuffixTree,270.880822
75000,TandemRepeat,250.938709
75000,SuffixTree,236.727728
75000,TandemRepeat,254.297025
80000,SuffixTree,290.479465
80000,TandemRepeat,267.87014
80000,SuffixTree,264.638462
80000,TandemRepeat,294.13242
80000,SuffixTree,334.405424
80000,TandemRepeat,266.834418
80000,SuffixTree,272.475059
80000,TandemRepeat,278.329724
80000,SuffixTree,273.495166
80000,TandemRepeat,271.499564
80000,SuffixTree,264.100321
80000,TandemRepeat,266.484945
80000,SuffixTree,271.126732
80000,TandemRepeat,266.255088
80000,SuffixTree,287.231319
80000,TandemRepeat,273.005704
80000,SuffixTree,275.569535
80000,TandemRepeat,265.80427
80000,SuffixTree,280.702669
