InputSize,Algorithm,RunningTime
2000,SuffixTree,29.836885
2000,TandemRepeat,402.981831
2000,SuffixTree,9.18958
2000,TandemRepeat,390.253542
2000,SuffixTree,8.555008
2000,TandemRepeat,315.95618
2000,SuffixTree,9.816037
2000,TandemRepeat,381.479905
2000,SuffixTree,8.075864
2000,TandemRepeat,312.979094
2000,SuffixTree,10.824803
2000,TandemRepeat,351.816478
2000,SuffixTree,12.274311
2000,TandemRepeat,376.116676
2000,SuffixTree,9.75026
2000,TandemRepeat,305.567117
2000,SuffixTree,9.620917
2000,TandemRepeat,373.723677
2000,SuffixTree,8.183873
2000,TandemRepeat,285.174447
4000,SuffixTree,39.233649
4000,TandemRepeat,1.696425679s
4000,SuffixTree,18.700539
4000,TandemRepeat,1.31150414s
4000,SuffixTree,19.573229
4000,TandemRepeat,1.319475593s
4000,SuffixTree,19.068409
4000,TandemRepeat,1.326856052s
4000,SuffixTree,19.184911
4000,TandemRepeat,1.32001749s
4000,SuffixTree,19.73215
4000,TandemRepeat,1.340303229s
4000,SuffixTree,19.336573
4000,TandemRepeat,1.324816596s
4000,SuffixTree,19.748494
4000,TandemRepeat,1.307837579s
4000,SuffixTree,19.860221
4000,TandemRepeat,1.324968307s
4000,SuffixTree,19.290943
4000,TandemRepeat,1.312440943s
6000,SuffixTree,44.804227
6000,TandemRepeat,3.3312393s
6000,SuffixTree,34.549769
6000,TandemRepeat,3.041444035s
6000,SuffixTree,36.139185
6000,TandemRepeat,3.035884039s
6000,SuffixTree,37.58389
6000,TandemRepeat,3.028534799s
6000,SuffixTree,35.062554
6000,TandemRepeat,3.029678127s
6000,SuffixTree,35.04523
6000,TandemRepeat,3.025362228s
6000,SuffixTree,36.085607
6000,TandemRepeat,3.051857158s
6000,SuffixTree,36.148842
6000,TandemRepeat,3.027709236s
6000,SuffixTree,34.833202
6000,TandemRepeat,3.043282392s
6000,SuffixTree,40.398151
6000,TandemRepeat,3.029813922s
