InputSize,Algorithm,RunningTime
500000,SuffixTree,3.119895398s
500000,TandemRepeat,1.931003838s
500000,SuffixTree,2.383581258s
500000,TandemRepeat,1.80885222s
500000,SuffixTree,2.210546676s
500000,TandemRepeat,1.979082996s
500000,SuffixTree,2.955030865s
500000,TandemRepeat,1.792483029s
500000,SuffixTree,1.990214806s
500000,TandemRepeat,1.852215525s
500000,SuffixTree,1.955842852s
500000,TandemRepeat,2.020684015s
500000,SuffixTree,2.444527639s
500000,TandemRepeat,1.826978431s
500000,SuffixTree,1.987927213s
500000,TandemRepeat,1.770043098s
500000,SuffixTree,2.046320215s
500000,TandemRepeat,1.808018615s
500000,SuffixTree,2.252486172s
500000,TandemRepeat,1.806659021s
