InputSize,Algorithm,RunningTime
500,SuffixTree,1.227354
500,TandemRepeat,1.036176
500,SuffixTree,1.960563
500,TandemRepeat,657.894
500,SuffixTree,781.483
500,TandemRepeat,827.357
500,SuffixTree,780.873
500,TandemRepeat,586.584
500,SuffixTree,757.593
500,TandemRepeat,728.145
500,SuffixTree,767.552
500,TandemRepeat,581.288
500,SuffixTree,561.67
500,TandemRepeat,745.397
500,SuffixTree,856.769
500,TandemRepeat,782.254
500,SuffixTree,649.205
500,TandemRepeat,787.778
500,SuffixTree,1.047814
500,TandemRepeat,999.244
1000,SuffixTree,1.415359
1000,TandemRepeat,2.745225
1000,SuffixTree,6.197807
1000,TandemRepeat,1.998509
1000,SuffixTree,1.952574
1000,TandemRepeat,2.591415
1000,SuffixTree,3.780277
1000,TandemRepeat,2.709379
1000,SuffixTree,2.692735
1000,TandemRepeat,2.809942
1000,SuffixTree,6.298288
1000,TandemRepeat,4.046369
1000,SuffixTree,2.364634
1000,TandemRepeat,2.160261
1000,SuffixTree,5.967771
1000,TandemRepeat,4.641225
1000,SuffixTree,2.137911
1000,TandemRepeat,2.151795
1000,SuffixTree,2.459442
1000,TandemRepeat,3.283965
1500,SuffixTree,4.485606
1500,TandemRepeat,4.024483
1500,SuffixTree,5.758041
1500,TandemRepeat,6.552647
1500,SuffixTree,3.621958
1500,TandemRepeat,6.708621
1500,SuffixTree,5.069481
1500,TandemRepeat,8.26852
1500,SuffixTree,4.923861
1500,TandemRepeat,5.929091
1500,SuffixTree,7.258441
1500,TandemRepeat,4.679201
1500,SuffixTree,3.069629
1500,TandemRepeat,2.977997
1500,SuffixTree,2.797286
1500,TandemRepeat,2.610176
1500,SuffixTree,3.756059
1500,TandemRepeat,3.265628
1500,SuffixTree,3.202596
1500,TandemRepeat,3.161265
2000,SuffixTree,4.113376
2000,TandemRepeat,6.958234
2000,SuffixTree,9.253274
2000,TandemRepeat,9.319825
2000,SuffixTree,5.335605
2000,TandemRepeat,8.938344
2000,SuffixTree,5.847914
2000,TandemRepeat,7.262747
2000,SuffixTree,5.97413
2000,TandemRepeat,6.311225
2000,SuffixTree,5.52781
2000,TandemRepeat,4.771456
2000,SuffixTree,4.231264
2000,TandemRepeat,5.973716
2000,SuffixTree,5.268682
2000,TandemRepeat,7.337972
2000,SuffixTree,7.439695
2000,TandemRepeat,6.510248
2000,SuffixTree,5.833312
2000,TandemRepeat,5.531857
2500,SuffixTree,7.679956
2500,TandemRepeat,7.766005
2500,SuffixTree,7.936616
2500,TandemRepeat,13.303682
2500,SuffixTree,8.262342
2500,TandemRepeat,10.709807
2500,SuffixTree,9.99925
2500,TandemRepeat,10.056356
2500,SuffixTree,12.10718
2500,TandemRepeat,11.244207
2500,SuffixTree,7.587173
2500,TandemRepeat,9.769047
2500,SuffixTree,8.160442
2500,TandemRepeat,10.507347
2500,SuffixTree,6.898782
2500,TandemRepeat,10.091637
2500,SuffixTree,8.245922
2500,TandemRepeat,9.870239
2500,SuffixTree,7.89534
2500,TandemRepeat,8.351496
3000,SuffixTree,8.345646
3000,TandemRepeat,10.405703
3000,SuffixTree,12.69324
3000,TandemRepeat,11.920386
3000,SuffixTree,8.016666
3000,TandemRepeat,12.661882
3000,SuffixTree,6.522716
3000,TandemRepeat,7.946501
