InputSize,Algorithm,RunningTime
2000,SuffixTree,23.199773
2000,TandemRepeat,26.298266
2000,SuffixTree,11.807982
2000,TandemRepeat,18.181525
2000,SuffixTree,8.758216
2000,TandemRepeat,16.061879
2000,SuffixTree,10.417934
2000,TandemRepeat,22.046469
2000,SuffixTree,9.732652
2000,TandemRepeat,16.16117
2000,SuffixTree,11.518515
2000,TandemRepeat,15.872461
2000,SuffixTree,10.272833
2000,TandemRepeat,15.03023
2000,SuffixTree,11.583811
2000,TandemRepeat,15.593563
2000,SuffixTree,8.658414
2000,TandemRepeat,15.518454
2000,SuffixTree,11.317614
2000,TandemRepeat,14.739179
4000,SuffixTree,33.827292
4000,TandemRepeat,64.788349
4000,SuffixTree,22.654797
4000,TandemRepeat,53.94818
4000,SuffixTree,27.988933
4000,TandemRepeat,45.289343
4000,SuffixTree,13.598619
4000,TandemRepeat,77.563284
4000,SuffixTree,20.298911
4000,TandemRepeat,41.35463
4000,SuffixTree,15.056577
4000,TandemRepeat,44.498824
4000,SuffixTree,14.48118
4000,TandemRepeat,36.687769
4000,SuffixTree,14.974979
4000,TandemRepeat,42.901722
4000,SuffixTree,14.918581
4000,TandemRepeat,38.040131
4000,SuffixTree,16.254659
4000,TandemRepeat,42.819485
6000,SuffixTree,34.355333
6000,TandemRepeat,86.804074
6000,SuffixTree,33.114822
6000,TandemRepeat,89.937095
6000,SuffixTree,31.484843
6000,TandemRepeat,61.568585
6000,SuffixTree,38.528082
6000,TandemRepeat,75.601045
6000,SuffixTree,30.863368
6000,TandemRepeat,94.81113
6000,SuffixTree,25.33851
6000,TandemRepeat,66.453204
6000,SuffixTree,26.745751
6000,TandemRepeat,63.907952
6000,SuffixTree,26.835313
6000,TandemRepeat,67.892654
6000,SuffixTree,32.950523
6000,TandemRepeat,79.93856
6000,SuffixTree,26.931983
6000,TandemRepeat,68.78577
