InputSize,Algorithm,RunningTime
200,SuffixTree,745.016
200,TandemRepeat,444.577
200,SuffixTree,645.717
200,TandemRepeat,397.475
200,SuffixTree,687.083
200,TandemRepeat,387.277
200,SuffixTree,1.15718
200,TandemRepeat,402.13
200,SuffixTree,392.959
200,TandemRepeat,518.39
200,SuffixTree,263.104
200,TandemRepeat,387.398
200,SuffixTree,608.769
200,TandemRepeat,357.076
200,SuffixTree,205.37
200,TandemRepeat,341.558
200,SuffixTree,180.888
200,TandemRepeat,346.443
200,SuffixTree,482.402
200,TandemRepeat,392.965
400,SuffixTree,511.573
400,TandemRepeat,694.69
400,SuffixTree,759.661
400,TandemRepeat,745.318
400,SuffixTree,1.026692
400,TandemRepeat,690.285
400,SuffixTree,830.525
400,TandemRepeat,1.173161
400,SuffixTree,827.623
400,TandemRepeat,937.029
400,SuffixTree,792.683
400,TandemRepeat,966.67
400,SuffixTree,816.48
400,TandemRepeat,678.781
400,SuffixTree,994.069
400,TandemRepeat,1.447312
400,SuffixTree,884.845
400,TandemRepeat,813.509
400,SuffixTree,862.832
400,TandemRepeat,905.694
600,SuffixTree,1.29867
600,TandemRepeat,1.402265
600,SuffixTree,635.014
600,TandemRepeat,1.128651
600,SuffixTree,3.69299
600,TandemRepeat,1.969374
600,SuffixTree,1.291726
600,TandemRepeat,2.327651
600,SuffixTree,1.171492
600,TandemRepeat,1.816079
600,SuffixTree,1.04781
600,TandemRepeat,1.321591
600,SuffixTree,1.337042
600,TandemRepeat,1.50635
600,SuffixTree,2.869661
600,TandemRepeat,1.605952
600,SuffixTree,1.359971
600,TandemRepeat,2.088674
600,SuffixTree,1.300203
600,TandemRepeat,3.073492
800,SuffixTree,1.982121
800,TandemRepeat,3.5315
800,SuffixTree,6.186106
800,TandemRepeat,4.351833
800,SuffixTree,1.483518
800,TandemRepeat,3.744328
800,SuffixTree,4.408224
800,TandemRepeat,2.125203
800,SuffixTree,2.894612
800,TandemRepeat,4.609964
800,SuffixTree,4.000959
800,TandemRepeat,3.048485
800,SuffixTree,4.206116
800,TandemRepeat,2.833953
800,SuffixTree,4.350252
800,TandemRepeat,5.394304
800,SuffixTree,2.473479
800,TandemRepeat,3.520062
800,SuffixTree,2.477174
800,TandemRepeat,2.103359
1000,SuffixTree,5.045291
1000,TandemRepeat,4.670173
1000,SuffixTree,5.866167
1000,TandemRepeat,4.868973
1000,SuffixTree,4.374438
1000,TandemRepeat,5.740966
1000,SuffixTree,5.111765
1000,TandemRepeat,5.852957
1000,SuffixTree,3.427227
1000,TandemRepeat,3.925076
1000,SuffixTree,5.732071
1000,TandemRepeat,2.46322
1000,SuffixTree,3.344283
1000,TandemRepeat,3.916134
1000,SuffixTree,3.689452
1000,TandemRepeat,3.098314
1000,SuffixTree,2.690143
1000,TandemRepeat,2.972706
1000,SuffixTree,3.778832
1000,TandemRepeat,2.089885
1200,SuffixTree,3.340415
1200,TandemRepeat,3.759886
1200,SuffixTree,4.149168
1200,TandemRepeat,4.094814
1200,SuffixTree,4.719902
1200,TandemRepeat,6.105125
1200,SuffixTree,5.061082
1200,TandemRepeat,6.948402
1200,SuffixTree,4.356831
1200,TandemRepeat,4.205845
1200,SuffixTree,4.350314
1200,TandemRepeat,5.284835
1200,SuffixTree,3.185122
1200,TandemRepeat,5.06306
1200,SuffixTree,3.913608
1200,TandemRepeat,3.362458
1200,SuffixTree,3.274301
1200,TandemRepeat,3.558035
1200,SuffixTree,4.015923
1200,TandemRepeat,2.675596
1400,SuffixTree,3.881122
1400,TandemRepeat,4.273103
1400,SuffixTree,6.168942
1400,TandemRepeat,7.225586
1400,SuffixTree,6.96679
1400,TandemRepeat,9.422335
1400,SuffixTree,7.528095
1400,TandemRepeat,8.158912
1400,SuffixTree,4.685455
1400,TandemRepeat,9.764556
1400,SuffixTree,7.730151
1400,TandemRepeat,8.535548
1400,SuffixTree,4.76533
1400,TandemRepeat,6.617187
1400,SuffixTree,7.166886
1400,TandemRepeat,8.911503
1400,SuffixTree,4.017073
1400,TandemRepeat,4.344875
1400,SuffixTree,3.112703
1400,TandemRepeat,3.5647
1600,SuffixTree,4.395324
1600,TandemRepeat,6.490683
1600,SuffixTree,7.271917
1600,TandemRepeat,5.680289
1600,SuffixTree,4.632011
1600,TandemRepeat,7.584798
1600,SuffixTree,7.687747
1600,TandemRepeat,7.896716
1600,SuffixTree,7.485114
1600,TandemRepeat,7.828955
1600,SuffixTree,7.434913
1600,TandemRepeat,7.503825
1600,SuffixTree,11.440913
1600,TandemRepeat,7.545741
1600,SuffixTree,8.341334
1600,TandemRepeat,8.715057
1600,SuffixTree,7.507955
1600,TandemRepeat,8.950489
1600,SuffixTree,6.811892
1600,TandemRepeat,10.147055
1800,SuffixTree,11.173483
1800,TandemRepeat,11.988977
1800,SuffixTree,9.374852
1800,TandemRepeat,11.71866
1800,SuffixTree,6.714478
1800,TandemRepeat,10.510827
1800,SuffixTree,8.915909
1800,TandemRepeat,7.450679
1800,SuffixTree,6.219053
1800,TandemRepeat,6.358056
1800,SuffixTree,5.707416
1800,TandemRepeat,5.724686
1800,SuffixTree,3.881822
1800,TandemRepeat,6.208759
1800,SuffixTree,5.89614
1800,TandemRepeat,6.333461
1800,SuffixTree,5.484422
1800,TandemRepeat,5.3063
1800,SuffixTree,6.075602
1800,TandemRepeat,6.041312
2000,SuffixTree,4.971478
2000,TandemRepeat,9.505126
2000,SuffixTree,13.879659
2000,TandemRepeat,10.46858
2000,SuffixTree,9.327511
2000,TandemRepeat,8.377872
2000,SuffixTree,6.519367
2000,TandemRepeat,7.401328
2000,SuffixTree,6.839935
2000,TandemRepeat,6.445457
2000,SuffixTree,5.357742
2000,TandemRepeat,6.226424
2000,SuffixTree,5.703975
2000,TandemRepeat,6.509873
2000,SuffixTree,4.864817
2000,TandemRepeat,5.806353
2000,SuffixTree,6.672496
2000,TandemRepeat,6.095411
2000,SuffixTree,7.001966
2000,TandemRepeat,6.128972
2200,SuffixTree,6.376169
2200,TandemRepeat,9.847032
2200,SuffixTree,7.753827
2200,TandemRepeat,10.712594
